Entidad_federativa,Municipio,Tipo_de_Fuente,SO_2,CO,NOx,COV,PM_010,PM_2_5,NH_3,Entidad
Aguascalientes,San José de Gracia,Fuentes móviles carreteros,1.864,316.996,61.087,32.217,3.214,2.931,0.518,Aguascalientes
Aguascalientes,San José de Gracia,Fuentes móviles que no circulan por carretera,0.168,1.598,4.806,0.377,0.3009999999999999,0.2919999999999999,0.002,Aguascalientes
Aguascalientes,San José de Gracia,Fuentes naturales,,,106.793,373.239,,,,Aguascalientes
Aguascalientes,Tepezalá,Fuentes fijas,2611.68,1763.088,2516.466,5.578,175.984,109.11,0.192,Aguascalientes
Aguascalientes,Tepezalá,Fuentes de área,1.677,341.146,19.365,232.508,135.891,66.813,2047.774,Aguascalientes
Aguascalientes,Tepezalá,Fuentes móviles carreteros,3.753,595.46,125.558,61.462,10.119,9.264,0.999,Aguascalientes
Aguascalientes,Tepezalá,Fuentes móviles que no circulan por carretera,0.4909999999999999,4.64,14.032,1.098,0.874,0.8479999999999999,0.004,Aguascalientes
Aguascalientes,Tepezalá,Fuentes naturales,,,502.297,1776.77,,,,Aguascalientes
Aguascalientes,El Llano,Fuentes fijas,0.0,0.004,0.069,0.004,0.004,0.004,0.0,Aguascalientes
Aguascalientes,El Llano,Fuentes de área,1.93,361.831,19.216,241.358,226.725,82.47799999999998,5144.242,Aguascalientes
Aguascalientes,El Llano,Fuentes móviles carreteros,3.769,639.097,121.42,65.166,6.974,6.367,1.07,Aguascalientes
Aguascalientes,El Llano,Fuentes móviles que no circulan por carretera,1.84,20.829,52.532,4.595,3.731,3.619,0.016,Aguascalientes
Aguascalientes,El Llano,Fuentes naturales,,,557.432,1877.458,,,,Aguascalientes
Aguascalientes,San Francisco de Los Romo,Fuentes fijas,89.625,37.682,74.077,228.431,148.396,87.93899999999998,0.273,Aguascalientes
Aguascalientes,San Francisco de Los Romo,Fuentes de área,1.367,259.523,28.911,785.254,151.715,53.392,4968.594,Aguascalientes
Aguascalientes,San Francisco de Los Romo,Fuentes móviles carreteros,10.826,1644.984,372.189,175.089,30.975,28.366,2.712,Aguascalientes
Aguascalientes,San Francisco de Los Romo,Fuentes móviles que no circulan por carretera,3.966,52.629,161.136,11.952,9.519,9.119,0.029,Aguascalientes
Aguascalientes,San Francisco de Los Romo,Fuentes naturales,,,639.535,2311.69,,,,Aguascalientes
Baja California,Ensenada,Fuentes fijas,264.724,491.4,645.128,139.498,337.942,290.75,0.004,Baja California
Baja California,Ensenada,Fuentes de área,140.363,15535.162,591.68,8416.272,3756.046,1669.423,1415.658,Baja California
Baja California,Ensenada,Fuentes móviles carreteros,129.784,21696.316,5828.159,2009.364,381.05,349.322,29.254,Baja California
Baja California,Ensenada,Fuentes móviles que no circulan por carretera,25.084,152.97,474.087,60.191,21.723,21.079,0.08,Baja California
Baja California,Ensenada,Fuentes naturales,,,67.529,224.457,,,,Baja California
Baja California,Mexicali,Fuentes fijas,1131.994,3052.529,4002.343,1211.602,3442.819,1816.676,9.876,Baja California
Baja California,Mexicali,Fuentes de área,67.387,11547.498,689.472,16012.324,7218.957,2376.122,3689.59,Baja California
Baja California,Mexicali,Fuentes móviles carreteros,271.679,55106.795,12352.94,5152.226,668.298,611.533,72.162,Baja California
Baja California,Mexicali,Fuentes móviles que no circulan por carretera,89.819,1253.33,2594.929,243.043,190.046,183.892,0.7219999999999999,Baja California
Baja California,Mexicali,Fuentes naturales,,,244.928,2173.105,,,,Baja California
Baja California,Tecate,Fuentes fijas,50.589,842.5019999999998,106.704,218.272,96.008,60.054,0.0,Baja California
Baja California,Tecate,Fuentes de área,1.958,332.349,44.247,1868.588,115.552,77.60599999999998,421.246,Baja California
Baja California,Tecate,Fuentes móviles carreteros,30.375,5244.352,1363.099,485.309,88.85,81.44,7.022,Baja California
Baja California,Tecate,Fuentes móviles que no circulan por carretera,0.664,7.223,70.833,2.665,1.797,1.619,0.0,Baja California
Baja California,Tecate,Fuentes naturales,,,49.737,133.781,,,,Baja California
Baja California,Tijuana,Fuentes fijas,512.284,4173.604,2331.114,4744.521,1259.146,803.3869999999998,2.581,Baja California
Baja California,Tijuana,Fuentes de área,6.811,1253.784,482.79,27930.062,262.825,223.277,1954.413,Baja California
Baja California,Tijuana,Fuentes móviles carreteros,405.707,75132.871,18616.195,6851.296,1037.893,950.526,102.437,Baja California
Baja California,Tijuana,Fuentes móviles que no circulan por carretera,54.62,683.168,712.133,59.965,12.896,12.414,0.661,Baja California
Baja California,Tijuana,Fuentes naturales,,,94.944,307.13,,,,Baja California
Baja California,Playas de Rosarito,Fuentes fijas,9.984,1207.898,3899.965,276.317,576.729,574.488,13.726,Baja California
Baja California,Playas de Rosarito,Fuentes de área,0.436,89.65399999999998,32.134,1412.627,30.032,23.862,262.482,Baja California
Baja California,Playas de Rosarito,Fuentes móviles carreteros,28.609,5343.234,1371.921,458.689,67.556,61.858,7.471,Baja California
Baja California,Playas de Rosarito,Fuentes móviles que no circulan por carretera,3.117,8.36,72.037,8.218999999999998,0.8659999999999999,0.783,0.0,Baja California
Baja California,Playas de Rosarito,Fuentes naturales,,,247.447,2181.904,,,,Baja California
Baja California Sur,Comondú,Fuentes fijas,8613.674,2017.123,9415.508,36.59,643.17,325.781,0.339,Baja California Sur
Baja California Sur,Comondú,Fuentes de área,1.517,350.108,27.712,1072.6,477.853,126.638,682.637,Baja California Sur
Baja California Sur,Comondú,Fuentes móviles carreteros,30.69,6880.098,1371.136,602.195,68.224,62.32,6.804,Baja California Sur
Baja California Sur,Comondú,Fuentes móviles que no circulan por carretera,4.435,25.741,89.263,10.224,3.911,3.794,0.018,Baja California Sur
Baja California Sur,Comondú,Fuentes naturales,,,108.349,442.158,,,,Baja California Sur
Baja California Sur,Mulegé,Fuentes fijas,908.824,545.984,2635.794,108.691,153.671,31.619,0.5809999999999998,Baja California Sur
Baja California Sur,Mulegé,Fuentes de área,0.515,111.06,17.114,804.576,2299.469,248.095,167.907,Baja California Sur
Baja California Sur,Mulegé,Fuentes móviles carreteros,31.372,6253.119,1408.49,545.485,82.593,75.58799999999998,6.367,Baja California Sur
Baja California Sur,Mulegé,Fuentes móviles que no circulan por carretera,4.879,19.211,80.10899999999998,11.225,2.206,2.14,0.008,Baja California Sur
Baja California Sur,Mulegé,Fuentes naturales,,,31.972,122.632,,,,Baja California Sur
Baja California Sur,La Paz,Fuentes fijas,28121.894,4034.73,19599.203,119.963,1717.554,967.086,14.999,Baja California Sur
Baja California Sur,La Paz,Fuentes de área,1.856,444.669,75.05599999999998,4146.234,881.1549999999999,159.167,567.093,Baja California Sur
Baja California Sur,La Paz,Fuentes móviles carreteros,163.43,37051.677,7218.17,3259.261,357.353,326.379,38.304,Baja California Sur
Baja California Sur,La Paz,Fuentes móviles que no circulan por carretera,13.651,245.579,130.421,24.201,1.846,1.824,0.016,Baja California Sur
Baja California Sur,La Paz,Fuentes naturales,,,73.01399999999998,1007.905,,,,Baja California Sur
Baja California Sur,Los Cabos,Fuentes fijas,50.067,58.582,1090.577,2.603,74.485,9.311000000000002,0.0,Baja California Sur
Baja California Sur,Los Cabos,Fuentes de área,2.775,667.843,84.924,4125.115,285.363,119.016,430.77,Baja California Sur
Baja California Sur,Los Cabos,Fuentes móviles carreteros,139.476,32889.034,6219.847,2646.074,242.558,221.211,35.492,Baja California Sur
Baja California Sur,Los Cabos,Fuentes móviles que no circulan por carretera,93.944,1288.486,1883.342,216.227,132.007,128.172,0.46,Baja California Sur
Baja California Sur,Los Cabos,Fuentes naturales,,,103.866,2486.988,,,,Baja California Sur
Baja California Sur,Loreto,Fuentes fijas,1.018,0.897,3.586,0.036,0.1789999999999999,0.045,0.1429999999999999,Baja California Sur
Baja California Sur,Loreto,Fuentes de área,0.214,54.411,5.799,274.12,255.339,32.948,62.978,Baja California Sur
Baja California Sur,Loreto,Fuentes móviles carreteros,7.015,1524.271,307.911,132.382,16.778,15.337,1.55,Baja California Sur
Baja California Sur,Loreto,Fuentes móviles que no circulan por carretera,15.817,250.446,427.211,44.679,35.36,34.303,0.128,Baja California Sur
Baja California Sur,Loreto,Fuentes naturales,,,40.17,94.423,,,,Baja California Sur
Campeche,Calkiní,Fuentes fijas,0.0,0.022,0.038,0.0,0.002,0.0,0.0,Campeche
Campeche,Calkiní,Fuentes de área,45.567,6497.542,205.762,1743.96,829.308,685.011,434.996,Campeche
Campeche,Calkiní,Fuentes móviles carreteros,15.054,2742.505,335.207,226.599,24.589,22.507,5.424,Campeche
Campeche,Calkiní,Fuentes móviles que no circulan por carretera,5.816,78.543,215.388,17.295,13.943,13.406,0.045,Campeche
Campeche,Calkiní,Fuentes naturales,,,89.617,3497.222,,,,Campeche
Campeche,Campeche,Fuentes fijas,105093.056,875.2179999999998,3235.486,132.625,789.8239999999998,593.041,16.258,Campeche
Campeche,Campeche,Fuentes de área,40.426,7098.006,451.648,5040.467,1598.701,1090.306,2737.638,Campeche
Campeche,Campeche,Fuentes móviles carreteros,200.852,24949.881,5407.072,2072.83,588.922,540.862,45.749,Campeche
Campeche,Campeche,Fuentes móviles que no circulan por carretera,46.416,517.935,1094.593,122.895,62.824,60.687,0.22,Campeche
Campeche,Campeche,Fuentes naturales,,,156.551,4819.711,,,,Campeche
Campeche,Carmen,Fuentes fijas,1294.132,5031.366,15885.426,150.152,2707.691,2639.331,10.034,Campeche
Campeche,Carmen,Fuentes de área,20.972,3136.511,162.476,3277.399,773.489,484.683,682.016,Campeche
Campeche,Carmen,Fuentes móviles carreteros,135.859,19289.819,3469.909,1523.919,328.345,301.391,31.47,Campeche
Campeche,Carmen,Fuentes móviles que no circulan por carretera,20.262,41.733,285.35,43.626,2.329,2.277,0.008999999999999998,Campeche
Campeche,Carmen,Fuentes naturales,,,94.139,2027.287,,,,Campeche
Campeche,Champotón,Fuentes fijas,399.651,237.001,210.055,0.11,1212.738,690.375,0.0,Campeche
Campeche,Champotón,Fuentes de área,102.97,8127.733,382.241,2323.15,1997.77,1467.049,843.4539999999998,Campeche
Campeche,Champotón,Fuentes móviles carreteros,34.49,5397.065,803.238,436.4,77.75499999999998,71.317,10.058,Campeche
Campeche,Champotón,Fuentes móviles que no circulan por carretera,4.222,45.22,270.934,13.222,9.64,8.990999999999998,0.022,Campeche
Campeche,Champotón,Fuentes naturales,,,84.202,4464.447,,,,Campeche
Campeche,Hecelchakán,Fuentes fijas,0.0,0.019,0.034,0.0,0.002,0.0,0.0,Campeche
Campeche,Hecelchakán,Fuentes de área,14.777,3140.693,130.774,888.868,590.339,478.805,464.705,Campeche
Campeche,Hecelchakán,Fuentes móviles carreteros,6.31,1075.901,156.521,85.117,11.622,10.65,1.828,Campeche
Campeche,Hecelchakán,Fuentes móviles que no circulan por carretera,1.273,13.043,84.73,3.966,2.857,2.656,0.006,Campeche
Campeche,Hecelchakán,Fuentes naturales,,,170.77,4285.403,,,,Campeche
Campeche,Hopelchén,Fuentes de área,53.675,10622.242,452.551,1869.594,2330.982,1699.798,911.762,Campeche
Campeche,Hopelchén,Fuentes móviles carreteros,10.76,1459.077,292.292,114.408,28.856,26.493,2.39,Campeche
Campeche,Hopelchén,Fuentes móviles que no circulan por carretera,3.375,31.839,96.466,7.542,6.001,5.821,0.031,Campeche
Campeche,Hopelchén,Fuentes naturales,,,143.278,5219.658,,,,Campeche
Campeche,Palizada,Fuentes fijas,35.466,52.688,189.415,2.345,59.222,13.423,0.0,Campeche
Campeche,Palizada,Fuentes de área,18.186,1376.436,94.395,298.941,324.199,209.329,256.545,Campeche
Campeche,Palizada,Fuentes móviles carreteros,2.6,395.039,66.614,31.318,5.884,5.398,0.681,Campeche
Campeche,Palizada,Fuentes móviles que no circulan por carretera,0.523,4.996,14.936,1.177,0.938,0.91,0.005,Campeche
Campeche,Palizada,Fuentes naturales,,,90.02599999999998,1880.813,,,,Campeche
Campeche,Tenabo,Fuentes de área,6.395,1351.153,57.421,388.11,259.744,207.683,153.171,Campeche
Campeche,Tenabo,Fuentes móviles carreteros,2.904,421.506,75.04399999999998,33.567,7.106,6.522,0.7219999999999999,Campeche
Campeche,Tenabo,Fuentes móviles que no circulan por carretera,1.194,14.011,66.779,3.711,2.795,2.633,0.007,Campeche
Campeche,Tenabo,Fuentes naturales,,,133.482,4636.963,,,,Campeche
Campeche,Escárcega,Fuentes fijas,0.002,80.191,140.794,0.0,7.588,0.035,0.0,Campeche
Campeche,Escárcega,Fuentes de área,21.885,2991.149,135.469,1352.471,613.549,409.507,547.299,Campeche
Campeche,Escárcega,Fuentes móviles carreteros,22.981,3705.409,541.942,293.649,47.768,43.801,6.529,Campeche
Campeche,Escárcega,Fuentes móviles que no circulan por carretera,2.099,21.242,148.13,6.672,4.755,4.402,0.008999999999999998,Campeche
Campeche,Escárcega,Fuentes naturales,,,61.331,3824.626,,,,Campeche
Campeche,Calakmul,Fuentes de área,8.596999999999998,2097.389,71.219,832.193,571.073,321.148,380.455,Campeche
Campeche,Calakmul,Fuentes móviles carreteros,5.354,735.991,137.783,57.485,13.063,11.991,1.288,Campeche
Campeche,Calakmul,Fuentes móviles que no circulan por carretera,1.887,20.016,124.805,5.957,4.318,4.019,0.008999999999999998,Campeche
Campeche,Calakmul,Fuentes naturales,,,66.966,5512.066,,,,Campeche
Campeche,Candelaria,Fuentes de área,8.769,2239.023,70.167,1072.923,568.507,326.117,478.217,Campeche
Campeche,Candelaria,Fuentes móviles carreteros,13.104,2025.809,325.48,158.275,29.739,27.283,3.423,Campeche
Campeche,Candelaria,Fuentes móviles que no circulan por carretera,2.18,26.043,62.21,5.634,4.601,4.463,0.019,Campeche
Campeche,Candelaria,Fuentes naturales,,,61.935,2974.34,,,,Campeche
Coahuila,Abasolo,Fuentes de área,1.435,194.026,8.154,25.561,53.873,33.193,16.451,Coahuila
Coahuila,Abasolo,Fuentes móviles carreteros,0.316,43.785,11.527,4.805,0.943,0.8649999999999999,0.068,Coahuila
Coahuila,Abasolo,Fuentes móviles que no circulan por carretera,0.4239999999999999,4.456,37.86,1.531,1.057,0.964,0.001,Coahuila
Coahuila,Abasolo,Fuentes naturales,,,64.92,245.866,,,,Coahuila
Coahuila,Acuña,Fuentes fijas,0.17,41.299,176.974,74.00799999999998,16.984,14.732,0.545,Coahuila
Coahuila,Acuña,Fuentes de área,26.102,2897.124,122.743,3473.936,362.302,275.953,251.06,Coahuila
Coahuila,Acuña,Fuentes móviles carreteros,38.344,3779.39,1496.19,388.815,129.252,118.66,6.055,Coahuila
Coahuila,Acuña,Fuentes móviles que no circulan por carretera,0.338,15.455,36.029,3.398,0.997,0.906,0.132,Coahuila
Coahuila,Acuña,Fuentes naturales,,,21.478,78.399,,,,Coahuila
Coahuila,Allende,Fuentes de área,0.336,70.757,7.079,267.35,61.164,24.596,41.299,Coahuila
Coahuila,Allende,Fuentes móviles carreteros,4.786,594.524,172.004,62.273,15.667,14.372,0.931,Coahuila
Coahuila,Allende,Fuentes móviles que no circulan por carretera,0.071,0.655,2.036,0.157,0.124,0.121,0.001,Coahuila
Coahuila,Allende,Fuentes naturales,,,208.286,878.0109999999999,,,,Coahuila
Coahuila,Arteaga,Fuentes fijas,0.008,1.146,1.364,0.07499999999999998,1.707,1.554,0.044,Coahuila
Coahuila,Arteaga,Fuentes de área,12.702,1815.736,60.438,889.989,333.063,207.226,185.326,Coahuila
Coahuila,Arteaga,Fuentes móviles carreteros,12.036,917.9380000000002,402.862,95.263,60.026,55.159,1.609,Coahuila
Coahuila,Arteaga,Fuentes móviles que no circulan por carretera,19.556,271.837,557.18,55.861,46.332,44.942,0.17,Coahuila
Coahuila,Arteaga,Fuentes naturales,,,128.33,554.307,,,,Coahuila
Coahuila,Candela,Fuentes de área,1.617,194.21,6.782,37.14,44.291,25.301,20.37,Coahuila
Coahuila,Candela,Fuentes móviles carreteros,0.2879999999999999,26.15,9.804,2.925,1.335,1.226,0.046,Coahuila
Coahuila,Candela,Fuentes móviles que no circulan por carretera,0.273,2.517,7.817999999999999,0.6019999999999999,0.4779999999999999,0.464,0.002,Coahuila
Coahuila,Candela,Fuentes naturales,,,61.793,190.995,,,,Coahuila
Coahuila,Castaños,Fuentes fijas,0.017,0.033,0.08,11.012,9.505,6.685,0.003,Coahuila
Coahuila,Castaños,Fuentes de área,2.32,295.544,15.868,488.377,121.847,49.511,93.28,Coahuila
Coahuila,Castaños,Fuentes móviles carreteros,8.369,792.86,290.471,81.631,35.82,32.896,1.271,Coahuila
Coahuila,Castaños,Fuentes móviles que no circulan por carretera,2.116,21.827,170.161,7.204,5.045,4.631,0.007,Coahuila
Coahuila,Castaños,Fuentes naturales,,,94.719,349.0,,,,Coahuila
Coahuila,Cuatro Ciénegas,Fuentes fijas,0.8409999999999999,2.459,1.869,0.006,0.029,0.007,0.024,Coahuila
Coahuila,Cuatro Ciénegas,Fuentes de área,3.535,644.298,27.147,237.194,179.627,106.702,140.382,Coahuila
Coahuila,Cuatro Ciénegas,Fuentes móviles carreteros,2.325,402.226,83.203,39.895,4.724,4.316,0.556,Coahuila
Coahuila,Cuatro Ciénegas,Fuentes móviles que no circulan por carretera,2.877,31.068,295.863,11.292,7.652,6.911,0.003,Coahuila
Coahuila,Cuatro Ciénegas,Fuentes naturales,,,45.375,150.558,,,,Coahuila
Coahuila,Escobedo,Fuentes de área,0.339,59.471,2.996,27.807,16.749,11.21,18.512,Coahuila
Coahuila,Escobedo,Fuentes móviles carreteros,0.896,57.189,30.013,6.813,4.832,4.442,0.117,Coahuila
Coahuila,Escobedo,Fuentes móviles que no circulan por carretera,0.6119999999999999,6.664,65.598,2.464,1.66,1.495,0.0,Coahuila
Coahuila,Escobedo,Fuentes naturales,,,87.917,337.785,,,,Coahuila
Coahuila,Francisco I. Madero,Fuentes fijas,0.12,16.826,76.456,1.364,8.593999999999998,8.586999999999998,0.0,Coahuila
Coahuila,Francisco I. Madero,Fuentes de área,12.862,2525.089,127.231,875.3619999999999,522.264,416.702,3367.794,Coahuila
Coahuila,Francisco I. Madero,Fuentes móviles carreteros,9.102,1299.124,318.507,125.402,26.003,23.822,1.82,Coahuila
Coahuila,Francisco I. Madero,Fuentes móviles que no circulan por carretera,0.8609999999999999,7.921999999999999,24.61,1.896,1.504,1.459,0.008,Coahuila
Coahuila,Francisco I. Madero,Fuentes naturales,,,136.668,536.359,,,,Coahuila
Coahuila,Frontera,Fuentes fijas,389.91,15.141,148.421,1026.362,135.571,101.768,0.4749999999999999,Coahuila
Coahuila,Frontera,Fuentes de área,0.45,93.438,23.362,1458.996,34.81,19.909,121.504,Coahuila
Coahuila,Frontera,Fuentes móviles carreteros,27.679,2915.606,956.487,303.099,110.393,101.353,4.757,Coahuila
Coahuila,Frontera,Fuentes móviles que no circulan por carretera,0.397,4.145,34.124,1.403,0.974,0.89,0.001,Coahuila
Coahuila,Frontera,Fuentes naturales,,,217.466,925.576,,,,Coahuila
Coahuila,General Cepeda,Fuentes fijas,0.045,0.04,0.215,0.003,0.011,0.005,0.006,Coahuila
Coahuila,General Cepeda,Fuentes de área,1.387,340.167,13.207,256.318,224.065,81.15,88.852,Coahuila
Coahuila,General Cepeda,Fuentes móviles carreteros,1.528,190.801,54.182,20.322,5.303,4.865,0.3029999999999999,Coahuila
Coahuila,General Cepeda,Fuentes móviles que no circulan por carretera,2.149,22.895,206.364,8.096,5.536,5.024,0.004,Coahuila
Coahuila,General Cepeda,Fuentes naturales,,,109.048,398.123,,,,Coahuila
Coahuila,Guerrero,Fuentes de área,0.457,86.02,3.77,43.692,41.697,18.533,25.587,Coahuila
Coahuila,Guerrero,Fuentes móviles carreteros,0.308,41.52,11.844,4.568,0.8389999999999999,0.769,0.065,Coahuila
Coahuila,Guerrero,Fuentes móviles que no circulan por carretera,0.133,1.226,3.81,0.2929999999999999,0.233,0.226,0.001,Coahuila
Coahuila,Guerrero,Fuentes naturales,,,81.759,308.45,,,,Coahuila
Coahuila,Hidalgo,Fuentes fijas,355.832,3.011,32.885,0.169,5.134,3.345,0.4779999999999999,Coahuila
Coahuila,Hidalgo,Fuentes de área,0.07299999999999998,15.124,0.815,16.999,8.989,3.212,7.695,Coahuila
Coahuila,Hidalgo,Fuentes móviles carreteros,0.021,4.472,0.8529999999999999,0.495,0.008999999999999998,0.008,0.007,Coahuila
Coahuila,Hidalgo,Fuentes móviles que no circulan por carretera,0.163,1.503,4.67,0.36,0.2849999999999999,0.277,0.001,Coahuila
Coahuila,Hidalgo,Fuentes naturales,,,45.436,158.254,,,,Coahuila
Coahuila,Jiménez,Fuentes de área,1.443,212.641,12.701,94.301,79.417,48.212,62.498,Coahuila
Coahuila,Jiménez,Fuentes móviles carreteros,1.023,163.333,40.11,17.148,1.936,1.77,0.2409999999999999,Coahuila
Coahuila,Jiménez,Fuentes móviles que no circulan por carretera,1.307,14.097,133.398,5.107,3.465,3.131,0.001,Coahuila
Coahuila,Jiménez,Fuentes naturales,,,95.81,435.376,,,,Coahuila
Coahuila,Juárez,Fuentes de área,0.183,26.397,1.666,13.01,7.154,5.522,14.009,Coahuila
Coahuila,Juárez,Fuentes móviles carreteros,0.202,44.341,8.008,4.548,0.08899999999999998,0.078,0.061,Coahuila
Coahuila,Juárez,Fuentes móviles que no circulan por carretera,0.044,0.404,1.255,0.097,0.077,0.07399999999999998,0.0,Coahuila
Coahuila,Juárez,Fuentes naturales,,,47.079,144.921,,,,Coahuila
Coahuila,Lamadrid,Fuentes de área,0.106,22.691,1.321,19.616,10.486,4.993,8.999,Coahuila
Coahuila,Lamadrid,Fuentes móviles carreteros,0.2939999999999999,55.652,11.027,5.777,0.4,0.3639999999999999,0.08,Coahuila
Coahuila,Lamadrid,Fuentes móviles que no circulan por carretera,0.056,0.7339999999999999,1.611,0.154,0.127,0.123,0.0,Coahuila
Coahuila,Lamadrid,Fuentes naturales,,,49.048,170.268,,,,Coahuila
Coahuila,Matamoros,Fuentes fijas,0.0,0.457,0.803,29.003,0.069,0.067,0.0,Coahuila
Coahuila,Matamoros,Fuentes de área,15.051,2775.001,152.189,1323.892,604.126,480.813,3560.526,Coahuila
Coahuila,Matamoros,Fuentes móviles carreteros,18.758,2478.546,638.76,242.393,62.708,57.497,3.538,Coahuila
Coahuila,Matamoros,Fuentes móviles que no circulan por carretera,0.968,8.912,27.688,2.133,1.693,1.642,0.008999999999999998,Coahuila
Coahuila,Matamoros,Fuentes naturales,,,478.782,2146.161,,,,Coahuila
Coahuila,Monclova,Fuentes fijas,6402.934,65468.218,26182.027,1896.224,13839.144,9112.43,344.606,Coahuila
Coahuila,Monclova,Fuentes de área,0.767,148.357,64.994,3535.676,47.566,31.975,267.561,Coahuila
Coahuila,Monclova,Fuentes móviles carreteros,77.836,9032.652,2688.768,923.773,286.271,262.711,14.182,Coahuila
Coahuila,Monclova,Fuentes móviles que no circulan por carretera,0.4829999999999999,4.713,26.095,1.349,0.996,0.936,0.003,Coahuila
Coahuila,Monclova,Fuentes naturales,,,79.477,291.055,,,,Coahuila
Coahuila,Morelos,Fuentes de área,0.445,90.819,5.214,149.424,55.061,22.847,40.972,Coahuila
Coahuila,Morelos,Fuentes móviles carreteros,2.56,293.089,85.97199999999998,29.346,10.118,9.286,0.439,Coahuila
Coahuila,Morelos,Fuentes móviles que no circulan por carretera,0.105,0.962,2.988,0.23,0.183,0.1769999999999999,0.001,Coahuila
Coahuila,Morelos,Fuentes naturales,,,154.69,672.919,,,,Coahuila
Coahuila,Múzquiz,Fuentes fijas,0.0,0.007,0.042,0.916,0.07399999999999998,0.059,0.0,Coahuila
